crc,rndinten,expinten
119706406,.0020212228,.17594744
119960770,.00050547597,.029620893
120063428,.016578503,.057954747
120064682,.0013820078,.012585832
120065423,.0042146123,.29061416
120068704,.001039261,.10781021
120076667,.0038663566,.039356738
120082944,.018165922,.16922478
120096166,9.8723140e-06,.012706902
120159788,.025782118,.016639015
120292386,.01909091,.04690909
120414793,.0016586921,.61244017
120556441,.0042221686,.0029870025
120557196,.023908217,.78534418
12057288X,.0033303057,.059138156
120760100,.00086447172,.026845604
121118160,.0065347808,.013364162
121125846,.0040098839,.44546559
121380898,.0071766903,.062516943
12144525X,.003125,.4375
121469139,.00098654709,1
121479425,.007290401,1
121480418,.0054229936,1
121486334,.0058962265,1
121501418,.0075268815,1
121517516,.0022094485,.028740793
121556152,.000036437039,.24361806
121564726,.0030533157,.0046262359
121821139,.0090467036,.48173696
121961799,.0028523323,.0024429699
121965618,.000046851575,.016866567
122491856,.00097879791,.13957451
123993305,.014924399,.078054801
123998915,.026737276,.014172588
124001566,.0049097589,.3180075
124001689,.00036875249,.075537525
124351793,.00037822782,.032923013
124475104,.0037340061,.009177357
124479121,.0019455253,.19035429
124885031,.0059425775,.010441958
12489806X,.001808355,.010220254
125167672,.00071363844,.022655187
125495588,.00054418354,.038302146
125532289,.00019690188,.0053432011
126005720,.00073653972,.90424985
126325811,.00016840819,.035248227
126560791,.0092460886,.0035561877
126982505,.000049404876,.20284407
127040288,.0045007872,.026572432
12704481X,.00032390375,.4241097
127045353,.0011420157,.033689462
127046743,.002438823,.50802559
127047965,.00028316234,.2649141
127177954,.0010547963,.10841916
128024925,.00028928489,.0068907659
128025389,.00068063143,.21473579
128513112,.0021237924,.58525789
128517826,.000024177776,.040529117
129141517,.00083612039,.72959864
129334095,.0041411952,.17787419
129746348,.0043024989,.009928843
132200450,.010640305,.05939924
132200944,.0018127764,.027284876
132201170,.039152015,.036391478
132201349,.0048409658,.092850268
132202296,.0003420299,.65122026
132202405,.00029999527,.012560292
13220382X,.0012236019,.083935171
132204427,.00001070194,.059984375
132204689,.0026715328,.016773453
132204814,.0097855022,.15339361
132206246,.00091998657,.12820806
132208321,.041820418,.23038951
