crc,rndinten,expinten
101440726,.0011211365,.033050027
101461180,.0011232283,.024894824
101462511,.0030069409,0
101476227,.0032398461,.023693815
101513083,.00031213235,0
101514043,.00057278143,0
101516284,.0029922202,0
101517615,.0015506166,0
101521745,.0040989025,0
101524129,.10247301,0
101530238,.00034461962,0
101530406,.0011427483,0
101545173,.00035045558,0
101560437,.0041594193,0
101568834,.017356778,0
101613519,.0037382392,0
101618619,.045562457,0
101619304,.0038674839,0
101619849,.0022046159,0
101620591,.0013673122,0
101632496,.0025638635,0
101638679,.00018063856,0
101642029,.0028766631,0
101647786,.02055046,0
101661019,.0029911187,0
101661094,.0025935268,0
101665407,.00081130635,0
101667699,.00069195445,0
101670003,.000095723757,.051168699
101672148,.11849745,0
101675963,.093419008,0
101676659,.0097629009,0
101679753,.077201135,0
101694582,.0023868938,0
101698348,.031533234,0
101699666,.05017823,0
101700671,.00067036966,0
101717457,.01764537,.0065452661
101719495,.0023594338,0
101746987,.0055445544,0
101751487,.00017711654,0
101752746,.00040546019,0
101756720,.0014231765,0
10176478X,.0022551545,0
101771031,.00029289009,.0069854287
101774961,.016700611,0
101783075,.0034578147,0
101807807,.0057344711,.21781816
101816498,.00016423059,0
101832826,.0082644625,0
101850063,.0007278868,.28603038
101854072,.00049757847,0
101884722,.000089727946,0
101891869,.0048595294,.15820046
101895587,.23267974,0
101896280,.050994195,0
101896934,.028709549,0
101907971,.0014297498,0
101913909,.00035100034,.0056160055
101914426,.0025881592,0
101919921,.0010360904,0
101927040,.029689863,0
101929281,.020101547,0
101929433,.075364731,0
101939631,.024960548,.030044392
101940827,.055839293,0
10194414X,.048052114,0
101945134,.024995796,0
101946735,.04055072,0
101948837,.040605828,0
101956327,.0050077392,0
10197201X,.0032322558,0
10197471X,.008332327,0
102013283,.1260049,0
102017145,.0234301,0
102019669,.025603855,0
102030534,.022000512,0
102041663,.067485943,0
102042252,.0043872371,.0082910322
102043343,.092183419,0
102043722,.092935227,0
102068575,.13743399,0
10208118X,.12863071,0
102111422,.96726191,0
102118747,.049736653,.039068822
102121823,.030342387,0
102124733,.030607782,0
102126771,.0077125086,0
102139265,.0095403511,0
102163695,.00144397,.074883506
102165383,.02131783,0
102167020,.011747292,0
102168488,.000065830616,0
10216978X,.0041951439,0
102170094,.039196428,0
102170852,.0071108583,0
102177173,.0084146755,0
102178854,.011327314,0
102183725,.014279159,.34092996
102197609,.0015929536,0
