crc,rndinten,expinten
102944627,.0018782869,.099549212
102945339,0,.99145299
102956089,0,.92283106
102964468,0,.9956193
102964775,0,.1341899
102965241,0,1
102965292,0,.26053321
102966703,0,1
102967714,0,.31596658
102968119,0,1
102972708,0,.99378884
102974498,0,.82214767
102974674,0,1
102974762,0,1
102974869,0,.91409487
102975415,0,.97399926
102977402,0,.99639148
102977664,0,.94586468
102985330,0,1
10299398X,0,.72942328
102998908,0,.92592591
103004434,0,1
103007993,0,1
103008099,0,.98892313
103029690,0,.13283134
10303510X,0,1
103059646,0,1
10306041X,0,.00078594725
103061746,.005060527,.0058331634
103062482,.00015829742,.011872306
103062597,0,.078350939
103062722,0,.7403928
103063282,0,.44052503
103063805,.00024629748,.041305482
103064330,0,.13324361
103064883,0,.069021516
103065034,0,.33494738
103066280,0,1
103066993,0,.21989915
103067021,.00080971658,.075141698
103067881,0,.98993349
103067902,0,.56976742
10306834X,0,.62447304
103068438,0,.82997352
10306869X,.014577808,.12238421
103068737,0,.05068947
103068833,.00003092624,.079789698
103069035,.03270185,.099007666
103069078,0,.82928574
103069094,0,1
103069123,0,.40561178
10306922X,.00053788227,.069924697
103069318,.0035414919,.038610645
103069350,0,.69687498
103069502,.034274239,.00088037859
103069772,0,1
103069887,0,.99108374
103069959,0,.26381418
103070140,0,.67316651
103070351,.00754624,.0028747581
103070677,0,.72138017
103070853,.0055475505,.073577091
10307087X,0,.016388603
103071020,0,.88943368
103071063,0,.92658937
103071477,0,.021739131
103071557,0,1
103071637,.00091606972,.081456915
103071768,0,.50015396
103072365,.0027037773,.084691852
103079938,0,.16480447
103100530,0,.22580644
103100784,.0073151109,.14379743
103101445,0,1
103111416,0,.5221675
10312839X,0,.9849239
10312927X,.0012836568,.54101437
103138344,0,.024046434
103138627,0,.50614822
103200451,0,.81393409
103201585,0,.19117647
10320206X,.00027966441,.90371555
103208832,0,.034918275
10320898X,.0022687798,.088254452
103209608,0,.072664768
103217106,0,.0025080116
103224605,0,.21100917
103275744,.0019698981,.17197876
103283613,0,.69733107
103292763,0,1
103294259,0,.034941763
103295550,0,.17179488
103307320,.0037890747,.10483107
10331386X,0,.0025948752
103316534,0,.62132919
10331837X,.0053852987,.29380414
103363613,0,.84792769
103380261,0,.044368602
103380712,.0047120419,.089005239
103381088,0,.54792333
103384326,.00036159731,.001414946
103385062,0,1
103388378,0,.23676012
103413780,.002736842,.20551379
103449337,0,.99081802
103467121,0,.0016489406
103474970,0,.27579963
103476722,0,.0016371971
103476984,0,.68869126
103478103,.010381432,.18261965
103479018,.0011331445,.0072845002
103479827,.0086009176,.077408254
103480326,0,.003357314
103480879,0,.033502143
103540878,0,1
103541002,0,.08510638
103541096,0,.25
103544967,0,.75377721
103544975,0,.009850326
103545820,.0028882471,.067540549
103547033,0,.031410623
103605299,0,.59647816
103608350,.011944637,.65162629
103622363,0,.54513067
103665793,0,.51924974
103665902,0,.80011016
10366693X,0,.060777385
103668257,0,.39931712
103682999,0,.14212203
10369069X,0,.65607172
103690710,0,1
103690729,0,1
103692003,0,.78940886
103692302,0,.52941179
103692353,0,.14166667
103704553,0,.52750492
103705425,0,.84787232
103719034,0,.46168223
103730057,.001952381,.19142857
103730639,.0053007994,.032393772
103732079,0,.20273319
103743376,0,.60676777
103744096,0,1
103765946,0,1
103767730,.00029241852,.018757578
103785381,0,.24712643
103786106,.0025298523,.026917627
103786245,0,.65656567
103787379,0,.098846786
103787467,.016744077,.01137947
103788726,0,.63855422
10378897X,0,.43417084
103790762,0,.38876891
103793154,.000036888119,.40730014
103795184,0,.87887853
103796320,0,.083925232
103798211,0,.61175668
10379822X,0,.69980377
103802161,0,.27559054
103803869,0,.40604344
103804431,0,.048274137
103809144,0,.08318615
10380970X,0,.54177213
103811367,0,.76133651
10381228X,.000032894735,.19210526
10381367X,0,.15549783
103825937,0,1
103828708,0,.74747896
103830111,0,.16525973
103832176,0,.069324091
103832942,0,.11818182
10383450X,0,.32294577
103846359,0,.14428152
103851027,0,.17255457
10385448X,0,.70251518
103856370,0,1
103857357,0,.42120343
103857680,0,.5714286
103857939,0,.60776061
103858042,0,.69047618
10386088X,0,.9375
103861161,0,.14129353
103861284,0,.53658539
103863415,0,.54648525
103863618,0,1
103864311,0,.97963142
103864418,0,.97943926
103864530,0,.97697139
103864813,0,.97931749
103866042,.00029022896,.0091099646
10386723X,0,.73342448
10386926X,0,.97959185
103870519,0,.99150002
103876240,0,.49458405
103876806,0,.97878164
103877796,0,.87946969
103877964,0,1
