crc,indtype,rndinten,expinten
101627865,4092,0,0
101628542,2320,0,0
101628681,2031,0,0
101628729,3716,0,0
101629203,3123,0,0
101629406,3526,0,0
101630706,1929,0,0
101631012,3533,0,0
101631039,2230,0,0
101631047,3727,0,0
101631637,3782,0,0
101632197,3483,0,0
101632357,2311,0,0
10163239X,2130,0,0
101632496,2671,.0025638635,0
101632568,1342,0,0
101632605,4024,0,0
10163263X,3050,0,0
101632808,2031,0,0
101633966,3654,0,0
101634598,2130,0,0
10163511X,3512,0,0
101636315,3463,0,0
101636518,3469,0,0
101636729,2681,0,0
101636884,4024,0,0
101637406,4024,0,0
101637676,3434,0,0
101638679,4141,.00018063856,0
101638804,3642,0,0
101638863,1419,0,.99994671
101639241,4024,0,0
10163925X,4024,0,0
101639372,1317,0,0
101639604,3654,0,0
101639882,3654,0,0
101640218,2624,0,0
101640744,1790,0,0
101640859,3782,0,0
101641122,1775,0,.30372277
101641931,3727,0,0
101642029,3727,.0028766631,0
101642571,1342,0,0
101642838,2617,0,0
101644331,2671,0,0
101644534,3619,0,0
101645318,4353,0,.90852129
101645991,4024,0,0
101647786,4024,.02055046,0
101648455,2671,0,0
101649642,4041,0,0
101649829,3629,0,0
101649896,2311,0,0
10164995X,3131,0,0
101649976,3571,0,1
101650280,3210,0,.92266059
101650504,3671,0,0
101651638,4392,0,0
101651865,3782,0,0
101651873,3727,0,0
101652462,3631,0,0
101652534,3681,0,0
101654716,3727,0,0
101656084,3121,0,0
10165664X,2110,0,0
101657685,3470,0,0
101659170,2311,0,0
101660569,3487,0,0
101660585,3622,0,0
101661019,2750,.0029911187,0
101661094,2720,.0025935268,0
101661158,4160,0,0
101662556,3561,0,0
101663460,2230,0,0
101664076,3123,0,0
10166456X,1390,0,0
101665124,2311,0,0
101665407,1781,.00081130635,0
101665415,1810,0,0
10166560X,3131,0,0
101665722,2311,0,0
101666477,2311,0,0
10166667X,1411,0,0
101666792,3463,0,0
101667699,3420,.00069195445,0
101667701,2624,0,0
10166798X,2311,0,0
101668034,3519,0,0
101668042,3519,0,0
101668077,3651,0,0
101668093,3123,0,0
101669360,3182,0,0
101670003,4024,.000095723757,.051168699
101670708,2730,0,0
10167088X,2720,0,0
101670978,3410,0,0
101671479,3410,0,0
101671639,4041,0,0
101672148,3463,.11849745,0
101674303,3134,0,0
101675058,1342,0,0
101675963,4259,.093419008,0
10167598X,3782,0,0
10167619X,4024,0,0
101676659,3465,.0097629009,0
101677109,3782,0,0
101678136,3465,0,0
101678590,3571,0,0
101678785,2312,0,0
101678806,2311,0,0
101679753,4317,.077201135,0
10167977X,3470,0,0
10167985X,3121,0,0
10168021X,2311,0,0
101680260,3562,0,0
101680754,1810,0,0
101681546,3511,0,0
101682282,2311,0,0
101685264,3782,0,0
101685758,2319,0,0
10168611X,2031,0,0
101686144,3465,0,0
101687497,3782,0,0
101688326,1810,0,0
10168953X,2689,0,0
101689775,3537,0,.091528639
101689978,3679,0,0
10169016X,3617,0,0
101691680,4013,0,0
101693192,2311,0,0
101694451,3782,0,0
101694582,2633,.0023868938,0
101697169,4023,0,0
101697505,4041,0,0
101698348,4073,.031533234,0
101698559,4155,0,0
101699041,2190,0,0
101699666,4119,.05017823,0
101700161,3135,0,0
101700233,3725,0,0
101700567,4130,0,0
101700671,3590,.00067036966,0
101700727,2311,0,0
101702140,1810,0,0
101702749,1810,0,.93256205
101703469,2311,0,0
101703522,3434,0,0
101703602,1810,0,0
101703610,1810,0,0
101703821,3782,0,0
10170383X,4215,0,0
101703880,2311,0,0
101703899,3782,0,0
101703936,3512,0,0
101703979,4024,0,0
101703987,2311,0,0
101703995,2681,0,0
101704023,4069,0,0
101704066,4211,0,0
101704103,2311,0,0
101704357,3499,0,0
10170439X,4353,0,0
101704445,3782,0,0
101705878,2110,0,0
101705990,2319,0,0
101706141,3434,0,0
101710175,2319,0,0
10171212X,2311,0,0
101712605,1342,0,0
101713376,1442,0,0
101714029,3782,0,0
101714918,2221,0,0
101715101,3782,0,0
101717457,3627,.01764537,.0065452661
101717799,1810,0,0
101719057,3725,0,0
101719495,3725,.0023594338,0
101719890,2671,0,0
101719938,3726,0,0
101721579,2811,0,0
101722539,3531,0,0
101722969,2190,0,0
101723224,3030,0,0
101723355,3410,0,0
10172362X,3727,0,0
101724323,2110,0,0
101727970,2672,0,0
101729335,3580,0,0
101729378,2750,0,0
101729458,1314,0,0
101730352,3727,0,0
101731988,3643,0,0
101732307,2319,0,0
101732374,3010,0,0
101733844,4080,0,0
101733852,3580,0,0
101733860,3681,0,0
10173429X,3782,0,0
101734599,1810,0,0
101734783,4215,0,0
101734863,4211,0,0
101734951,4041,0,0
101734994,3040,0,0
101735903,3431,0,0
101736711,3435,0,0
101740032,2450,0,0
101740673,1923,0,.621638
101741801,2681,0,0
101742492,4041,0,0
10174341X,3469,0,0
101744447,3410,0,0
101744455,3410,0,0
101744738,1724,0,0
101745490,1342,0,0
101746987,3782,.0055445544,0
101750265,3070,0,0
101750409,4160,0,.0014792236
101751487,2672,.00017711654,0
101752746,2730,.00040546019,0
101752885,4190,0,0
101753466,3782,0,0
101754047,3782,0,0
101754354,2652,0,0
101755138,3654,0,0
101755496,2730,0,0
101756720,1781,.0014231765,0
101759569,2311,0,0
101760981,3782,0,0
101761052,2230,0,0
101762565,2671,0,0
101763306,3782,0,0
101763699,2311,0,0
101764341,2319,0,0
101764536,2311,0,0
10176478X,4071,.0022551545,0
101765416,3131,0,0
101766494,2319,0,0
101766814,3483,0,0
101768801,3782,0,0
101768860,2311,0,0
101769126,4141,0,0
101771031,3645,.00029289009,.0069854287
101771760,2110,0,.975384
101772245,3536,0,0
101774961,2685,.016700611,0
101774996,1810,0,0
101776844,2311,0,0
101777150,2230,0,0
101777804,3636,0,0
101778110,2685,0,0
101779033,4230,0,0
101780245,1810,0,0
101781707,4391,0,0
101781985,3040,0,0
101782750,1782,0,0
101782953,2319,0,0
101783075,4029,.0034578147,0
101783331,2672,0,0
101783630,3615,0,0
101783796,2651,0,0
101783841,3529,0,0
101783892,3782,0,0
101784529,3652,0,0
101785353,2440,0,1
101785863,4021,0,0
101787279,3727,0,0
101787498,2110,0,0
10178887X,2110,0,0
101789565,4041,0,0
101790822,1810,0,0
101790902,3529,0,0
101792692,3782,0,0
101794401,4024,0,0
101798007,3410,0,0
10179919X,4230,0,0
10180290X,4130,0,0
10180688X,2012,0,0
101807807,4043,.0057344711,.21781816
101808551,3681,0,0
101811005,3569,0,0
101812112,2671,0,0
101814636,2230,0,0
101815225,2311,0,0
101816498,4073,.00016423059,0
101819189,3782,0,0
101819349,3782,0,0
101828704,2415,0,.013339184
101829424,2672,0,0
101832586,2312,0,0
101832826,2750,.0082644625,0
101836042,2672,0,0
101837256,4071,0,0
101843541,2720,0,0
101850063,2655,.0007278868,.28603038
101854072,3622,.00049757847,0
101857468,1810,0,0
101870048,2130,0,0
101876327,2740,0,0
101876650,2730,0,0
101876810,3070,0,0
101876933,2230,0,0
101876941,4311,0,0
101876976,2990,0,0
101877426,3511,0,0
101878525,3782,0,0
10187927X,2311,0,0
101879966,3090,0,0
10188057X,3727,0,0
101880596,3793,0,0
10188081X,3511,0,0
10188102X,4021,0,0
101882022,4024,0,0
101882380,3511,0,0
101883172,3410,0,0
101884079,3782,0,0
10188460X,2311,0,0
101884722,2720,.000089727946,0
101885389,3782,0,0
101885573,3652,0,0
101886824,2311,0,0
